week,total_recipients,bounces,unique_opens,open_rate,total_opens,date_last_open,unique_clicks,click_rate,total_clicks,date_last_click,unsubs
1,7724,12,3089,0.39992232,5928,11/26/2020,303,0.098089997,632,11/20/2020,11
2,7682,0,2828,0.368133299,4983,12/1/2020,274,0.09688826,540,12/1/2020,5
3,7672,1,2226,0.290145985,3920,11/28/2020,148,0.066486972,294,11/10/2020,11
4,7659,2,2203,0.287635462,4003,12/1/2020,185,0.083976396,394,11/10/2020,10
5,7647,1,2189,0.286256048,3955,12/2/2020,172,0.078574692,353,11/10/2020,7
6,7638,200,2291,0.29994763,3990,12/1/2020,156,0.068092536,311,11/13/2020,11
7,7471,51,2528,0.33837505,4102,12/1/2020,123,0.048655063,209,11/10/2020,12
8,7406,3,2347,0.316905212,3964,12/1/2020,136,0.057946314,286,11/29/2020,12
9,7390,2,1904,0.257645467,3363,12/1/2020,101,0.053046218,184,11/30/2020,4
10,7381,6,2033,0.275436933,3684,12/2/2020,98,0.048204624,184,12/2/2020,3
